Node	Context	Thread	Function	NumCalls	NumSubr	Inclusive PAPI_VEC_SP	Exclusive PAPI_VEC_SP	Inclusive PAPI_VEC_DP	Exclusive PAPI_VEC_DP	Inclusive PAPI_DP_OPS	Exclusive PAPI_DP_OPS	Inclusive TIME	Exclusive TIME	Inclusive PAPI_FP_OPS	Exclusive PAPI_FP_OPS	Group
0	0	1	.TAU application	1.0	45771.0	0.0	0.0	1.2056372E7	1122164.0	3.4415190395E10	1451256.0	1.16373604E8	1.1672466E7	3.8269209481E10	356598.0	TAU_USER
0	0	1	parallel (parallel begin/end) [OpenMP location: file:/fs3/d63/d63/shared/1_c/clover_leaf.f90 <49, 68>]	1.0	1.0	0.0	0.0	26.0	26.0	44.0	38.0	393.0	7.0	25.0	18.0	OpenMP
0	0	1	parallel (barrier enter/exit) [OpenMP location: file:/fs3/d63/d63/shared/1_c/clover_leaf.f90 <49, 68>]	1.0	0.0	0.0	0.0	0.0	0.0	6.0	6.0	386.0	386.0	7.0	7.0	OpenMP
0	0	1	parallel (parallel begin/end) [OpenMP location: file:/fs3/d63/d63/shared/1_c/initialise.f90 <48, 61>]	1.0	1.0	0.0	0.0	24.0	24.0	31.0	24.0	19.0	6.0	21.0	15.0	OpenMP
0	0	1	parallel (barrier enter/exit) [OpenMP location: file:/fs3/d63/d63/shared/1_c/initialise.f90 <48, 61>]	1.0	0.0	0.0	0.0	0.0	0.0	7.0	7.0	13.0	13.0	6.0	6.0	OpenMP
0	0	1	parallel (parallel begin/end) [OpenMP location: file:/fs3/d63/d63/shared/1_c/build_field.f90 <154, 200>]	1.0	1.0	0.0	0.0	22.0	22.0	37.0	29.0	341702.0	341669.0	28.0	22.0	OpenMP
0	0	1	parallel (barrier enter/exit) [OpenMP location: file:/fs3/d63/d63/shared/1_c/build_field.f90 <154, 200>]	1.0	0.0	0.0	0.0	0.0	0.0	8.0	8.0	33.0	33.0	6.0	6.0	OpenMP
0	0	1	parallel (parallel begin/end) [OpenMP location: file:/fs3/d63/d63/shared/1_c/initialise_chunk_kernel.f90 <68, 180>]	1.0	17.0	0.0	0.0	628.0	282.0	251860.0	361.0	4075.0	1758.0	252669.0	147.0	OpenMP
0	0	1	do (loop body) [OpenMP location: file:/fs3/d63/d63/shared/1_c/initialise_chunk_kernel.f90 <69, 73>]	1.0	1.0	0.0	0.0	26.0	26.0	39.0	33.0	81.0	68.0	34.0	28.0	OpenMP
0	0	1	do (barrier enter/exit) [OpenMP location: file:/fs3/d63/d63/shared/1_c/initialise_chunk_kernel.f90 <69, 73>]	1.0	0.0	0.0	0.0	0.0	0.0	6.0	6.0	13.0	13.0	6.0	6.0	OpenMP
0	0	1	do (loop body) [OpenMP location: file:/fs3/d63/d63/shared/1_c/initialise_chunk_kernel.f90 <75, 79>]	1.0	1.0	0.0	0.0	18.0	18.0	44.0	39.0	28.0	6.0	24.0	18.0	OpenMP
0	0	1	do (barrier enter/exit) [OpenMP location: file:/fs3/d63/d63/shared/1_c/initialise_chunk_kernel.f90 <75, 79>]	1.0	0.0	0.0	0.0	0.0	0.0	5.0	5.0	22.0	22.0	6.0	6.0	OpenMP
0	0	1	do (loop body) [OpenMP location: file:/fs3/d63/d63/shared/1_c/initialise_chunk_kernel.f90 <81, 85>]	1.0	1.0	0.0	0.0	12.0	12.0	37.0	32.0	23.0	7.0	33.0	27.0	OpenMP
0	0	1	do (barrier enter/exit) [OpenMP location: file:/fs3/d63/d63/shared/1_c/initialise_chunk_kernel.f90 <81, 85>]	1.0	0.0	0.0	0.0	0.0	0.0	5.0	5.0	16.0	16.0	6.0	6.0	OpenMP
0	0	1	do (loop body) [OpenMP location: file:/fs3/d63/d63/shared/1_c/initialise_chunk_kernel.f90 <87, 91>]	1.0	1.0	0.0	0.0	26.0	26.0	29.0	23.0	17.0	9.0	23.0	17.0	OpenMP
0	0	1	do (barrier enter/exit) [OpenMP location: file:/fs3/d63/d63/shared/1_c/initialise_chunk_kernel.f90 <87, 91>]	1.0	0.0	0.0	0.0	0.0	0.0	6.0	6.0	8.0	8.0	6.0	6.0	OpenMP
0	0	1	do (loop body) [OpenMP location: file:/fs3/d63/d63/shared/1_c/initialise_chunk_kernel.f90 <93, 97>]	1.0	1.0	0.0	0.0	16.0	16.0	37.0	32.0	19.0	7.0	50.0	41.0	OpenMP
0	0	1	do (barrier enter/exit) [OpenMP location: file:/fs3/d63/d63/shared/1_c/initialise_chunk_kernel.f90 <93, 97>]	1.0	0.0	0.0	0.0	0.0	0.0	5.0	5.0	12.0	12.0	9.0	9.0	OpenMP
0	0	1	do (loop body) [OpenMP location: file:/fs3/d63/d63/shared/1_c/initialise_chunk_kernel.f90 <99, 103>]	1.0	1.0	0.0	0.0	30.0	30.0	35.0	28.0	36.0	5.0	24.0	17.0	OpenMP
0	0	1	do (barrier enter/exit) [OpenMP location: file:/fs3/d63/d63/shared/1_c/initialise_chunk_kernel.f90 <99, 103>]	1.0	0.0	0.0	0.0	0.0	0.0	7.0	7.0	31.0	31.0	7.0	7.0	OpenMP
0	0	1	do (loop body) [OpenMP location: file:/fs3/d63/d63/shared/1_c/initialise_chunk_kernel.f90 <105, 109>]	1.0	1.0	0.0	0.0	18.0	18.0	42.0	36.0	34.0	5.0	56.0	47.0	OpenMP
0	0	1	do (barrier enter/exit) [OpenMP location: file:/fs3/d63/d63/shared/1_c/initialise_chunk_kernel.f90 <105, 109>]	1.0	0.0	0.0	0.0	0.0	0.0	6.0	6.0	29.0	29.0	9.0	9.0	OpenMP
0	0	1	do (loop body) [OpenMP location: file:/fs3/d63/d63/shared/1_c/initialise_chunk_kernel.f90 <111, 115>]	1.0	1.0	0.0	0.0	24.0	24.0	28.0	21.0	21.0	6.0	23.0	17.0	OpenMP
0	0	1	do (barrier enter/exit) [OpenMP location: file:/fs3/d63/d63/shared/1_c/initialise_chunk_kernel.f90 <111, 115>]	1.0	0.0	0.0	0.0	0.0	0.0	7.0	7.0	15.0	15.0	6.0	6.0	OpenMP
0	0	1	do (loop body) [OpenMP location: file:/fs3/d63/d63/shared/1_c/initialise_chunk_kernel.f90 <117, 121>]	1.0	1.0	0.0	0.0	16.0	16.0	42.0	36.0	26.0	9.0	34.0	28.0	OpenMP
0	0	1	do (barrier enter/exit) [OpenMP location: file:/fs3/d63/d63/shared/1_c/initialise_chunk_kernel.f90 <117, 121>]	1.0	0.0	0.0	0.0	0.0	0.0	6.0	6.0	17.0	17.0	6.0	6.0	OpenMP
0	0	1	do (loop body) [OpenMP location: file:/fs3/d63/d63/shared/1_c/initialise_chunk_kernel.f90 <123, 127>]	1.0	1.0	0.0	0.0	24.0	24.0	28.0	22.0	8.0	6.0	33.0	24.0	OpenMP
0	0	1	do (barrier enter/exit) [OpenMP location: file:/fs3/d63/d63/shared/1_c/initialise_chunk_kernel.f90 <123, 127>]	1.0	0.0	0.0	0.0	0.0	0.0	6.0	6.0	2.0	2.0	9.0	9.0	OpenMP
0	0	1	do (loop body) [OpenMP location: file:/fs3/d63/d63/shared/1_c/initialise_chunk_kernel.f90 <129, 133>]	1.0	1.0	0.0	0.0	22.0	22.0	37.0	31.0	100.0	74.0	36.0	30.0	OpenMP
0	0	1	do (barrier enter/exit) [OpenMP location: file:/fs3/d63/d63/shared/1_c/initialise_chunk_kernel.f90 <129, 133>]	1.0	0.0	0.0	0.0	0.0	0.0	6.0	6.0	26.0	26.0	6.0	6.0	OpenMP
0	0	1	do (loop body) [OpenMP location: file:/fs3/d63/d63/shared/1_c/initialise_chunk_kernel.f90 <135, 139>]	1.0	1.0	0.0	0.0	16.0	16.0	26.0	20.0	89.0	72.0	22.0	16.0	OpenMP
0	0	1	do (barrier enter/exit) [OpenMP location: file:/fs3/d63/d63/shared/1_c/initialise_chunk_kernel.f90 <135, 139>]	1.0	0.0	0.0	0.0	0.0	0.0	6.0	6.0	17.0	17.0	6.0	6.0	OpenMP
0	0	1	do (loop body) [OpenMP location: file:/fs3/d63/d63/shared/1_c/initialise_chunk_kernel.f90 <141, 149>]	1.0	1.0	0.0	0.0	26.0	26.0	100632.0	100624.0	397.0	376.0	100589.0	100580.0	OpenMP
0	0	1	do (barrier enter/exit) [OpenMP location: file:/fs3/d63/d63/shared/1_c/initialise_chunk_kernel.f90 <141, 149>]	1.0	0.0	0.0	0.0	0.0	0.0	8.0	8.0	21.0	21.0	9.0	9.0	OpenMP
0	0	1	do (loop body) [OpenMP location: file:/fs3/d63/d63/shared/1_c/initialise_chunk_kernel.f90 <151, 159>]	1.0	1.0	0.0	0.0	18.0	18.0	50177.0	50170.0	457.0	370.0	50162.0	50153.0	OpenMP
0	0	1	do (barrier enter/exit) [OpenMP location: file:/fs3/d63/d63/shared/1_c/initialise_chunk_kernel.f90 <151, 159>]	1.0	0.0	0.0	0.0	0.0	0.0	7.0	7.0	87.0	87.0	9.0	9.0	OpenMP
0	0	1	do (loop body) [OpenMP location: file:/fs3/d63/d63/shared/1_c/initialise_chunk_kernel.f90 <161, 169>]	1.0	1.0	0.0	0.0	30.0	30.0	50077.0	50070.0	459.0	356.0	51228.0	51219.0	OpenMP
0	0	1	do (barrier enter/exit) [OpenMP location: file:/fs3/d63/d63/shared/1_c/initialise_chunk_kernel.f90 <161, 169>]	1.0	0.0	0.0	0.0	0.0	0.0	7.0	7.0	103.0	103.0	9.0	9.0	OpenMP
0	0	1	do (loop body) [OpenMP location: file:/fs3/d63/d63/shared/1_c/initialise_chunk_kernel.f90 <171, 179>]	1.0	1.0	0.0	0.0	24.0	24.0	50184.0	50177.0	508.0	418.0	50142.0	50133.0	OpenMP
0	0	1	do (barrier enter/exit) [OpenMP location: file:/fs3/d63/d63/shared/1_c/initialise_chunk_kernel.f90 <171, 179>]	1.0	0.0	0.0	0.0	0.0	0.0	7.0	7.0	90.0	90.0	9.0	9.0	OpenMP
0	0	1	parallel (barrier enter/exit) [OpenMP location: file:/fs3/d63/d63/shared/1_c/initialise_chunk_kernel.f90 <68, 180>]	1.0	0.0	0.0	0.0	0.0	0.0	5.0	5.0	14.0	14.0	9.0	9.0	OpenMP
0	0	1	parallel (parallel begin/end) [OpenMP location: file:/fs3/d63/d63/shared/1_c/generate_chunk_kernel.f90 <96, 209>]	1.0	7.0	0.0	0.0	314.0	148.0	369.0	169.0	3891.0	585.0	156865.0	58.0	OpenMP
